term_rank,n,p,i,n_chars,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,term_rank2,zipf_k,zipf_k2,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,dfidf,dp,dh
20,837,0.00595797386179209,7.3909624903035205,5,MD,0,would,would,would,20,16740,0.1191594772358418,601,1.6980372279257876,0.009982247898408129,19.465383401895853,0.0,0.28300620465429793,1020.5203739833984,0.3082051282051282,0.5233437815299479
21,835,0.005943737365109194,7.39441391549245,3,CC,1,but,but,but,21,17535,0.12481848466729308,689,1.5008982359326817,0.008502633129791314,16.58013460309306,0.0,0.7504491179663408,1034.1188845576178,0.35333333333333333,0.5303173766962141
22,773,0.005502405967939409,7.505721698929017,1,PRP,1,i,i,i,22,17006,0.121052931294667,327,2.5761115831388905,0.01405735880457401,27.41184966891932,0.0,1.2880557915694453,842.3884876864172,0.1676923076923077,0.43199409624944474
23,765,0.005445459981207825,7.52073036527385,2,IN,1,by,by,by,23,17595,0.12524557956777996,599,1.7028462158481874,0.008992410460929794,17.535200398813096,0.0,0.3405692431696375,1020.0048832930643,0.3071794871794872,0.5230794273297765
24,743,0.0052888585176959655,7.562827902315268,6,NNP,0,unit,unit,unit,24,17832,0.12693260442470317,595,1.7125125504416672,0.009555817191540483,18.63384352350394,0.0,0.8562562752208336,1018.944967512792,0.30512820512820515,0.5225358807757908
25,728,0.005182084792574243,7.592251662655168,4,IN,1,from,from,from,25,18200,0.12955211981435608,563,1.7922672965567434,0.008415985351996766,16.411171436393694,0.0,0.5974224321855811,1009.0464879614466,0.2887179487179487,0.5174597374161264
26,674,0.004797699382136044,7.703441521672006,4,PRP,1,they,they,they,26,17524,0.12474018393553715,488,1.9985210710740868,0.009744240940364112,19.00126983371002,0.0,0.4996302677685217,975.2782826841544,0.25025641025641027,0.5001427090687971
27,645,0.004591270180234048,7.766890952543248,4,VBN,1,been,been,been,27,17415,0.1239642948663193,509,1.9377365625612777,0.007589657502365398,14.799832129612525,0.0,0.1571137753428063,986.3079103436903,0.261025641025641,0.5057989283813797
28,613,0.004363486233307708,7.840303039163083,2,VB,1,be,be,be,28,17164,0.12217761453261583,502,1.957714854686201,0.009097377261029755,17.739885659008024,0.0,0.4894287136715503,982.772857052473,0.25743589743589745,0.5039860805397297
29,569,0.0040502833062839895,7.947761460547283,4,WRB,1,when,when,when,29,16501,0.11745821588223569,475,2.037474705418663,0.006991588565750251,13.63359770321299,0.0,0.11985145325992136,967.8004850738649,0.24358974358974358,0.4963079410635205
